,name,artists,genre,spotifyID,lyrics
Fat thighs, flabby arms
A pot belly still gives good loving
Fat thighs, flabby arms
A pot belly still gives good loving
He still gives good loving

[Verse 2]
We got to take a walk along the shore
It's fine sunny weather
The waves make their way across our toes
So good to be together
Dance with me, flirt with me, have a little fun
I'm glad to see you are here with me
Let's have a little fun

[Chorus]
Even though I have fat thighs, flabby arms
A pot belly still gives good loving
Fat thighs, flabby arms
A pot belly still gives good loving
Fat thighs, flabby arms
A pot belly still gives good loving
[Verse 3]
In another time I could say I love you, I love you
And with your sweet hand in mine
I could say I need you, I need you
Every day and every hour
*Skatting*
In the morning, in the evening time
He still gives good loving
After breakfast, after dinnertime
He still gives good loving
Summer-loving in the wintertime
Still gives good loving
Honey-loving only yours and mine
Still gives good lovingEmbed"
2,Homage,['Alien Ant Farm'],alt-rock,0gmmDw2VIZn8BsGq1mwYlK,"Ten somersets will undertake on solid ground
The Beatles were my thing so put on Jackson Browne
Maybe I threw on The Police or ELO to take me home
They helped me through
With rhythm and blues, my country too
They watched me grow
With rock and roll, with heart and soul
And they were singing my life with every line
Pulling my strings every time
Even through my torment we share this moment
Through the ups and the downs, the lows and the highs
We'll never forget, you opened our eyes
Even though I don't know you, I feel like I owe you
They helped me through
With rhythm and blues, my country too
They watched me grow
With rock and roll, with heart and soul
And they were singing my life with every line
Pulling my strings every time
Even through my torment we share this moment
Through the ups and the downs, the lows and the highs
We'll never forget, you opened our eyes
Even though I don't know you, I feel like I owe you
And they were singing my life with every line
Pulling my strings every time
Even through my torment we share this moment
Through the ups and the downs, the lows and the highs
We'll never forget, you opened our eyes
Even though I don't know you, I feel like I owe you
Even though I don't know you, I feel like I owe you
I feel like I owe you, yeah
I got Stevie Wonder with you underneath my covers
And I got Otis Reading for the love1Embed"
3,Sunday Morning,['Maroon 5'],alternative,1YI0uK36eupTmw9F8kHysr,"[Intro]
Yeah

[Verse 1]
Sunday morning, rain is falling
Steal some covers, share some skin (Like that)
Clouds are shrouding us in moments unforgettable
You twist to fit the mold that I am in

[Pre-Chorus 1]
But things just get so crazy, living life gets hard to do (Life is hard)
And I would gladly hit the road, get up and go if I knew
That someday, it would lead me back to you
That someday, it would lead me back to you (Someday)

[Chorus]
That may be all I'll need
In darkness, she is all I see (All I see)
Come and rest your bones with me
Driving slow on Sunday morning
And I never want to leave
[Verse 2]
(Yeah) Fingers trace your every outline (Oh yeah, yeah)
(Yeah) Paint a picture with my hands (Oh, oh, whoa)
And back and forth, we sway like branches in a storm
Change the weather, still together when it ends

[Chorus]
That may be all I need (All I need)
In darkness, she is all I see
Come and rest your bones with me
Driving slow on Sunday morning
And I never want to leave
Yeah

[Pre-Chorus 2]
Oh yeah
But things just get so crazy, living life gets hard to do (Life gets hard)
Sunday morning, rain is falling and I'm calling out to you
Singing, someday it'll bring me back to you, yeah
(Someday, oh, someday, oh)
Find a way to bring myself back home to you

[Chorus]
You may not know
That may be all I need (All I need)
In darkness, she is all I see (You are all I see)
Come and rest your bones with me
Driving slow on Sunday morning
Driving slow, yeah, yeah
Ah, yeah, yeah
Ah, yeah, yeah
Ah, yeah, yeah
Ah, yeah, yeah
Ah, yeah, yeah
[Outro]
It's a flower in your hair
I'm a flower in your hair
Yeah, yeah
Yeah, yeah, oh
Whoa, oh, yeah, oh
Yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah42Embed"
4,French Catalogues (Variation On 'The Canon In D Major' By Johann Pachelbel) - Remastered 2004,['Brian Eno'],ambient,0lKoQnWjjPJUHgw5nCGKAn,
5,Knock Knock Map Map,['ヒビキ(CV.山村響)'],anime,2bOX2QQt2D9iHRcqa8Qwpx,
6,Equimanthorn,['Bathory'],black-metal,7tBWz2oywYVfyf5QhiAUeP,"Grant me the powers of thunder
And give me a sword forged in the raging Hell's fire
Lend me the eight legged black stallion of Odin and I'll have my vengeance
Oh, I'll kill with desire

Vengeance flows like boiling poison through my twisted veins
Tonight I'll blood shed with wrath and set the night on flames
Invincible in battle, wargods hear my deathwish cry
I'll laugh in the face of death, I into glory ride

Snarling breath upon your backs, I'm vengeance incarnate
Now it's time, the moment's comed, stand up now, face my hate
See the fire in my eyes, the final light you'll see
I send you to the darkness with my sword of thunder and steel

Vengeance flows like boiling poison through my twisted veins
Tonight I'll blood shed with wrath and set the night on flames
Invincible in battle, wargods hear my deathwish cry
I'll laugh in the face of death, I into glory ride
I let the bodies lie in shame
I let mighty earth drink their blood
I turn my face to eternal sky
And praise my elders' God
Equimanthorn hear my Hail
You're the mighty four winds night and day
Steel in every warrior's heart and sword
The brave and wise in flesh and soul
Equimanthorn, Equimanthorn, Equimanthorn, Equimanthorn
Equimanthorn, Equimanthorn, Equimanthorn, Equimanthorn2Embed"
7,Ghosts Of Mississippi,['The Steeldrivers'],bluegrass,0H7ROR8cZTsh6YUgnlqjM2,"[Chorus 1]
Late one night behind corn whiskey
I fell asleep with a guitar in my hand
I dreamed about the ghosts of Mississippi
And the blues came walking like a man

[Verse 1]
Without a word I passed that guitar over
He tuned it up like I'd never seen
A crooked smile was his expression
Then he closed his eyes and began to sing

[Chorus 2]
Oh Lord why have you forsaken me
Got me down in Mississippi
Where I don't want to be
Oh Lord why have you forsaken me
Got me down in Mississippi
Where I don't want to be
[Verse 2]
When I woke up I looked into the mirror
I saw no reflection for a while
But as my eyes came into focus
I recognized that crooked smile

[Chorus 2]
Oh Lord why have you forsaken me
Got me down in Mississippi
Where I don't want to be
Oh Lord why have you forsaken me
Got me down in Mississippi
Where I don't want to be

[Chorus 1]
Late one night behind corn whiskey
I fell asleep with a guitar in my hand
I dreamed about the ghosts of Mississippi
And the blues came walking like a man

[Chorus 2]
Oh Lord why have you forsaken me
Got me down in Mississippi
Where I don't want to be
Oh Lord why have you forsaken me
Got me down in Mississippi
Where I don't want to beEmbed"
8,Nine Below Zero - Live,['Muddy Waters'],blues,1GyYfnn4uKRQ2cgIlo3D9q,"As sung on Live At Newport-Live At Mr. Kelly (1971)

Ain't this a pity, people ain't this a cryin' shame
Ain't this a pity, people ain't this a cryin' shame
Well you know it's nine below zero, she put me down for another man

Gave her all of my money, all of my love and everything
I gave her all of my money, all of my love and everything
Nine below zero, she put me down for another man

She lied to me, she didn't tell me everything
She lied to me, the woman didn't tell me everything
Well you know its nine below zero cousin, she put me down for another man

Ain't this a pity, people ain't this a cryin' shame
Ain't this a pity, people ain't this a cryin' shame
It's nine below zero, she put me down for another man
(Well alright!)
I'm gonna retire on the delta, layin' out there in the fallin' rain
I'm gonna retire on the delta, layin' out there in the fallin' rain
You know it's nine below zero people, and my love don't mean a thing

As sung on Muddy ""Mississippi"" Waters Live (1979)
Nine below zero and that fool done put me down
Nine below zero and that fool done put me down
Well you know I don't have nowhere to stay and I don't have a lossy dime

Yeah ain't that a pity people ain't that a cryin' shame
Yeah ain't that a pity people ain't that a cryin' shame
Well it's nine below zero and put me down for another man

I bought her a Cadillac, I even bought her a diamond ring
Yeah, I bought my babe a Cadillac, I bought her a diamond ring
Yeah you know it's nine below zero and my love don't mean a thing

It Nine below zero and that fool done put me down
Yeah it's Nine below zero and that fool done put me down
Well you know I ain't got no place to stay and I don't have a lossy dime

I'm gonna retire on the Delta, layin there in the falling rain
Yeah, I'm gonna retire on the Delta, out there in the falling rain
Well it got nine below zero and the fool put me down for another man

Nine below zero and that fool done put me down
Nine below zero and that fool done put me down
Yeah you know I don't have no place to stay and I don't have a dimeEmbed"
9,Mulher Passarinho,['Agostinho'],bossanova,0UPd7HqdjLBgOCtLIaKQVT,
10,O Vento,['Los Hermanos'],brazil,4MYTwzia07JVDvMes0y0qY,"Posso ouvir o vento passar
Assistir à onda bater
Mas o estrago que faz
A vida é curta pra ver
Eu pensei
Que quando eu morrer
Vou acordar para o tempo
E para o tempo parar

Um século, um mês
Três vidas e mais
Um passo pra trás
Por que será?
Vou pensar
Como pode alguém sonhar
O que é impossível saber?
Não te dizer o que eu penso
Já é pensar em dizer
E isso, eu vi
O vento leva
Não sei mais
Sinto que é como sonhar
Que o esforço pra lembrar
É a vontade de esquecer
E isso por quê?
Diz mais

Se a gente já não sabe mais
Rir um do outro, meu bem
Então o que resta é chorar e, talvez
Se tem que durar
Vem renascido o amor
Bento de lágrimas

Um século, três
Se as vidas atrás
São parte de nós
E como será?

O vento vai dizer
Lento o que virá
E se chover demais
A gente vai saber
Claro de um trovão
Se alguém depois
Sorrir em paz
Só de encontrarEmbed"
11,Super TNT,['Brisk Fingaz'],breakbeat,7sOTf4gUwXo3OJsLkknJYd,
12,Laid,['James'],british,4IWrEuvVZbMxIBcXBkZTsO,"[Verse 1]
This bed is on fire
With passionate love
The neighbours complain about the noises above
But she only comes when she's on top

[Verse 2]
My therapist said not to see you no more
She said you're like a disease without any cure
She said I'm so obsessed that I'm becoming a bore, oh no
Ah, you think you're so pretty

[Verse 3]
Caught your hand inside a till
Slammed your fingers in the door
Fought with kitchen knives and skewers
Dressed me up in women's clothes
Messed around with gender roles
Line my eyes and call me pretty
[Verse 4]
Moved out of the house, so you moved next door
I locked you out, you cut a hole in the wall
I found you sleeping next to me, I thought I was alone
You're driving me crazy, when are you coming home

[Outro]
Laid
Laid11Embed"
13,What Do Men Believe,"['Janice Vidal', 'JW']",cantopop,2ozMcZH0FH7lMAh9B7umRW,"A Place

So I have sailed the seas and come…

to B…
a small town fastened to a field in Indiana. Twice there have been twelve hundred people here to answer to the census. The town is outstandingly neat and shady, and always puts its best side to the highway. On one lawn there’s even a wood or plastic iron deer.
You can reach us by crossing a creek. In the spring the lawns are green, the forsythia is singing, and even the railroad that guts the town has straight bright rails which hum when the train is coming, and the train itself has a welcome horning sound.
Down the back streets the asphalt crumbles into gravel. There’s Westbrook’s, with the geraniums, Horsefall’s, Mott’s. The sidewalk shatters. Gravel dust rises like breath behind the wagons. And I am in retirement from love.

Weather

In the Midwest, around the lower Lakes, the sky in the winter is heavy and close, and it is a rare day, a day to remark on, when the sky lifts and allows the heart up. I am keeping count, and as I write this page, it is eleven days since I have seen the sun.

My House

There’s a row of headless maples behind my house, cut to free the passage of electrical wires. High stumps, ten feet tall, remain, and I climb these like a boy to watch the country sail away from me. They are ordinary fields, a little more uneven than they should be, since in the spring they puddle. The topsoil’s thin, but only moderately stony. Corn is grown one year, soybeans another. At dusk starlings darken the single tree—a larch—which stands in the middle. When the sky moves, fields move under it. I feel, on my perch, that I’ve lost my years. It’s as though I were living at last in my eyes, as I have always dreamed of doing, and I think then I know why I’ve come here: to see, and so to go out against new things—oh god how easily—like air in a breeze. It’s true there are moments—foolish moments, ecstasy on a tree stump—when I’m all but gone, scattered I like to think like seed, for I’m the sort now in the fool’s position of having love left over which I’d like to lose: what good is it now to me, candy ungiven after Halloween?
A Person

There are vacant lots on either side of Billy Holsclaw’s house. As the weather improves, they fill with hollyhocks. From spring through fall, Billy collects coal and wood and puts the lumps and pieces in piles near his door, for keeping warn in his one work. I see him most often on mild days sitting on his doorsill in the sun. I notice he’s squinting a little, which is perhaps the reason he doesn’t cackle as I pass. His house is the size of a single garage, and very old. It sheds its paint with its youth, and its boards are a warped and weathered gray. So is Billy. He wears a short lumpy faded black coat when it’s cold, otherwise he always goes about in the same loose, grease-spotted shirt and trousers. I suspect his galluses were yellow once, when they were new.

Wires

These wires offend me. Three trees were maimed on their account, and now these wires deface the sky. They cross like a fence in front of me, enclosing the crows with the clouds. I can’t reach in, but like a stick, I throw my feelings over. What is it that offends me? I am on my stump, I’ve built a platform there, and the wires prevent my going out. The cut trees, the black wires, all the beyond birds therefore anger me. When I’ve wormed through a fence to reach a meadow, do I ever feel the same about the field?

The Church

The church has a steeple like the hat of a witch, and five birds, all doves, perch in its gutters.

My House

Leaves move in the windows. I cannot tell you yet how beautiful it is, what it means. But they do move. They move in the glass.

Politics

…for all those not in love.
I’ve heard Batista described as a Mason. A farmer who’d seen him in Miami made this claim. He’s as nice a fellow as you’d ever want to meet. Of Castro, of course, no one speaks.
For all those not in love there’s law: to rule…to regulate…to rectify. I cannot write the poetry of such proposals, the poetry of politics, though sometimes—often—always now—I am in that uneasy peach of equal powers which makes a State; then I communicate by passing papers, proclamations, orders, through my bowels. Yet I was not a State with you, nor were we both together any Indiana. A squad of Perching Rifles at the moment, I make myself Right Face! Legislation packs the screw of my intestines. Well, king of the classroom’s king of the hill. You used to waddle when you walked because my sperm between your legs was draining to a towel. Teacher, poet, folded lover—like the politician, like those drunkards, ill, or those who faucet-off while pissing heartily to preach upon the force and fullness of that stream, or pause from vomiting to praise the purity and passion of their puke—I chant, I beg, I orate, I command, I sing—

Come back to Indiana—not too late!
(or will you be a ranger to the end?)
Good-bye…Good-bye…oh, I shall always wait
You, Larry, traveler—
stranger,
son,
—my friend—
my little girl, my poem by heart, my self, my childhood.
But I’ve heard Batista described as a Mason. That dries up my pity, melts my hate. Back from the garage where I have overheard it. I slap the mended fender of my car to laugh, and listen to the metal stinging tartly in my hand.
People

Their hair in curlers and their heads wrapped in loud scarves, young mothers, fattish in trousers, lounge about in the speedwash, smoking cigarettes, eating candy, drinking pop, thumbing magazines, and screaming at their children above the whir and rumble of the machines.
At the bank  a young man freshly pressed is letting himself in with a key. Along the street, delicately teetering, many grandfathers move in a dream. During the murderous heat of the summer, they perch on window ledges, their feet dangling just inside the narrow shelf of shade the store has made, staring steadily into the street. Where their consciousness has gone I can’t say. It’s not in the eyes. Perhaps it’s diffuse, all temperature and skin, like an infant’s, though more mild. Near the corner there are several large overalled men employed in standing.  A truck turns to be weighed on the scales at the Feed and Grain. Images drift on the drugstore window. The wind has blown the smell of cattle into town. Our eyes have been driven in like the eyes of the old men. And there’s no one to have mercy on us.

Vital Data

There are two restaurants here and a tearoom, two bars. one bank, three barbers, one with a green shade with which he blinds his windows. two groceries. a dealer in Fords. one drug, one hardware, and one appliance store. several that sell feed, grain, and farm equipment. an antique shop. a poolroom. a laundromat. three doctors. a dentist. a plumber. a vet. a funeral home in elegant repair the color of a buttercup.  numerous beauty parlors that open and shut like night-blooming plants. a tiny dime and department store of no width but several floors. a hutch, homemade, where you can order, after lying down or squirming in, furniture that’s been fashioned from bent lengths of stainless tubing, glowing plastic, metallic thread, and clear shellac. an American Legion Post and a root beer stand. little agencies for this and that: cosmetics, brushes, insurance, greeting cards and garden produce—anything—sample shoes—which do their business out of hats and satchels, over coffee cups and dissolving sugar. a factory for making paper sacks and pasteboard boxes that’s lodged in an old brick building bearing the legend OPERA HOUSE, still faintly golden, on its roof. a library given by Carnegie. a post office. a school. a railroad station. fire station. lumberyard. telephone company. welding shop. garage…and spotted though the town from one end to the other is a line along the highways, gas stations to the number five.

Education

In 1833, Colin Goodykoontz, an itinerant preacher with a name from a fairytale, summed up the situation in one Indiana town this way:
Ignorance and her squalid brood. A universal dearth of intellect. Total abstinence 	from literature is very generally practiced…There is not a scholar in grammar or 	geography, or a teacher capable of instructing in them, to my knowledge…Others are 	supplied a few months of the year with the most antiquated & unreasonable forms 	of teaching reading, writing & ciphering…Need I stop to remind you of the host of 	loathsome reptiles such a stagnant pool is fitted to the breed! Croaking jealousy; 	bloated bigotry; coiling suspicion; warmish blindness; crocodile malice!

Things have changed since then, but in none of the respects mentioned.

Business

One side of the street is blocked off with sawhorses. Hard, thin, butter men in blue jeans, cowboy boots and hats, untruck a dinky carnival. The merchants are promoting themselves. There will be free rides, raucous music, parades and coneys, pop, popcorn, candy, cones, awards and drawings, with all you can endure of pinch, push, bawl, shove, shout, scream, shriek, and bellow. Children pedal past on decorated bicycles, their wheels a blur of color, streaming crinkled paper and excited dogs. A little later there’s a pet shot for a prize—dogs, cats, birds, sheep, ponies, goats—none of which wins. The whirlabouts whirl about. The Ferris wheel climbs dizzily into the sky as far as a tall man on tiptoe might be persuaded to reach, and the irritated operators measure the height and weight of every child with sour eyes to see if they are safe for the machines. An electrical megaphone repeatedly trumpets the names of the generous sponsored. The following day they do not allow the refuse to remain long in the street.

My House, This Place and Body

I have met with some mischance, wings withering, as Plato says obscurely, and across the breadth of Ohio, like heaven on a table, I’ve fallen as far as the poet, to the sixth sort of body, this house in B, in Indiana, with its blue and gray bewitching windows, holy magical insides. Great thick evergreens protect its entry. And I live in.
Lose in the corn rows, I remember feeling just another stalk, and thus this country takes me over in the way I occupy myself when I am well…completely—to the edge of both my house and body. No one notices, when they walk by, that I am brimming in the doorways. My house, this place and body, I’ve come in mourning to be born in. To anybody else it’s pretty silly: love. Why should I feel a loss? How am I bereft? She was never mine; she was a fiction, always a golden tomgirl, barefoot, with an adolescent’s slouch and a boy’s taste for sports and fishing, a figure out of Twain, or worse, in Riley.
Age cannot be kind.
There’s little hand-in-hand here…not in B. No one touched except in rage. Occasionally girls will twine their arms about each other and lurch along, school out, toward home and play. I dreamed my lips would drift down your back like a skiff on a river. I’d follow a vein with the point of my finger, hold your bare feet in my naked hands.
The Same Person

Billy Holsclaw lives alone—how alone it is impossible to fathom. In the post office he talks greedily to me about the weather. His head bobs on a wild flood of words, and I take this violence to be a measure of his eagerness for speech. He badly needs a shave, coal dust has layered his face, he spits when he speaks, and his fingers pick at his tatters. He wobbles out in the wind when I leave him, a paper sack mashed in the fold of his arms, the leaves blowing past him, and our encounter drives me sadly home to poetry—where there’s no answer. Billy closes his door and carries coal or wood to his fire and closes his eyes, and there’s simply no way of knowing how lonely and empty he is or whether he’s as vacant and barren and loveless as the rest of us are—here in the heart of the country.

Weather

For we’re always out of luck here. That’s just how it is—for instance in the winter. The sides of buildings, the roofs, the limbs of the trees are gray. Streets, sidewalks, faces, feelings—they are gray. Speech is gray, and the grass where it shows. Every flank and front, each top is gray. Everything is gray: hair, eyes, window glass, the hawkers’ bills and touters’ posters, lips, teeth, poles and metal signs—they’re gray, quite gray. Cars are gray. Boots, shoes, suits, hats, gloves are gray. Horses, sheep, and cows, cats killed in the road, squirrels in the same way, sparrows, doves, and pigeons, all are gray, everything is gray, and everyone is out of luck who lives here.
A similar haze turns the summer sky milky, and the air muffles your head and shoulders like a sweater you’ve got caught in. In the summer light, too, the sky darkens a moment when you open your eyes. The heat is pre distraction. Steeped in out fluids, miserable in the folds of our bodies, we can scarcely think of anything but our sticky parts. Hot cyclonic winds and storms of dust crisscross the country. In many places, given an indifferent push, the wind will still coast for miles, gathering resource and edge as it goes, cunning and force. According to the season, paper, leaves, field litter, seeds, snow, fill up the fences. Sometimes I think the land is flat because the winds have leveled it, they blow so constantly. In any case, a gale can grow in a field of corn that’s as hot as a draft from hell, and to receive it is one of the most dismaying experiences of this life, though the smart of the same wind in winter is more humiliating, and in that sense even worse. But in the spring it rains as well, and the trees fill with ice.

Place

Many small Midwestern towns are nothing more than rural slums, and this community could easily become one. Principally during the first decade of the century, though there were many earlier instances, well-to-do farmers moved to town and built fine homes to contain them in their retirement. Others desired a more social life, and so lived in, driving to their fields like storekeepers to their businesses. These houses are now dying like the bereaved who inhabit them; they are slowly losing their senses—deafness, blindness, forgetfulness, mumbling, an insecure gait, an uncontrollable trembling has overcome them. Some kind of Northern Snopes will occupy them next: large-familied, Catholic, Democratic, scrambling, vigorous, poor; and since the parents will work in larger, nearby towns, the children will be loosed upon themselves and upon the hapless neighbors much as the fabulous Khan loosed his legendary horde. These Snopes will undertake makeshift repairs with materials that other people have thrown away; paint halfway round their house, then quit; almost certainly maintain an ugly loud cantankerous dog and underfeed a pair of cats to keep the rodents down. They will collect piles of possibly useful junk in the back yard, park their cars in the front, live largely leaning over engines, give not a hoot for the land, the old community, the hallowed ways, the established clans. Weakening widow ladies have already begun to hire large rude youths from families such as these to rake and mow and tidy the grounds they will inherit.

People

In the cinders at the station boys sit smoking steadily in darkened cars, their arms bent out the windows, white shirts glowing behind the glass. Nine o’clock is the best time. They sit in a line facing the highway—two or three or four of them—idling their engines. As you walk by a machine may growl at you or a pair of headlights flare up briefly. In a moment one will pull out, spinning cinders behind it, to stalk impatiently up and down the dark streets or roar half a mile into the country before returning to its place in line and pulling up.

My House, My Cat, My Company

I must organize myself. I must, as they say, pull myself together, dump this cat from my lap, stir—yes, resolve, move, do. But do what? My will is like the rosy dustlike light in this room: soft, diffuse, and gently comforting. It lets me do…anything…nothing. My ears hear what they happen to: I eat what’s put before me; my eyes see what blunders into them; my thoughts are not thoughts, they are dreams. I’m empty or I’m full…depending: and I cannot choose. I sink my claws in Tick’s fur and scratch the bones of his back until his rear rises amorously. My. Tick, I murmur, I must organize myself. I must pull myself together. And Mr. Tick rolls over on his belly, all ooze.
I spill  Mr. Tick when I’ve rubbed his stomach. Shoo. He steps away slowly, his long tail rhyming with his paws. How beautifully he moves, I think; how beautifully, like you, he commands his loving, how beautifully he accepts. So I rise and wander from room to room, up and down, gazing through most of my forty-one windows. How well this house receives its loving too. Let out like Mr. Tick, my eyes sink in the shrubbery. I am not here; I’ve passed the glass, passed second-story spaces, flown by branches, brilliant berries, to the ground, grass high in seed and leafage every season; and it is the same as when I passed above you in my aged, ardent body; it’s, in short, a kind of love; and I am learning to restore myself, my house, my body, by paying court to gardens, cats, and running water, and with neighbors keeping company.
Mrs. Desmond is my right-hand friend; she’s eighty-five. A thin white mist of hair, fine and tangled, manifests the climate of her mind. She is habitually suspicious, fretful, nervous. Burglars break in at noon. Children trespass. Even now they are shaking the pear tree, stealing rhubarb, denting lawn. Flies caught in the screens and numbed by frost awake in the heat to buzz and scrape the metal cloth and frighten he, through the hollow rooms. It is herself she hears, her own flesh failing, for only death will preserve her from those daily chores she climbs like stairs, and all that anxious waiting. Is it now, she wonders. No? Then: is it now?
We do not converse. She visits me to talk. My task is to murmur. She talks about her grandsons, her daughter who lives in Delphi, her sister or her husband—both gone—obscure friends—dead—obscurer aunts and uncles—lost—ancient neighbors, members of her church or of her clubs—passed or passing on: and in this way she brings the ends of her life together with a terrifying rush: she is a girl, a wife, a mother, widow, all at once. All at once—appalling—but I believe it; I wince in expectation of the clap. Her talk’s a fence—a shade drawn, window fastened, door that’s locked—for no one dies taking tea in a kitchen: and as her years compress and begin to jumble, I really believe in the brevity of live; I sweat in my wonder; death is the dog down the street, the angry gander, bedroom spider, goblin who’s come to her; and it occurs to me that in my listening posture I’m the boy who suffered the winds of my grandfather with an exactly similar politeness, that I am, right now, all my ages, out in elbows, as angular as badly stacked cards. Thus was I, when I loved you, every man I could be, youth and child—far from enough—and you, so strangely ambiguous a being, met me, heart for spade, play after play, the whole run of our suits.
Mr. Tick, you do me honor. You not only lie in my lap, but you remain alive there, coiled like a fetus. Through your deep nap, I feel you hum. You are, and are not, a machine. You are alive, alive exactly, and it means nothing to you—much to me. You are a cat—you cannot understand—you are a cat so easily. Your nature is not something you much rise to. You, not I, live in: in house, in skin, in shrubbery. Yes. I think I shall hat my head with a steeple; turn church; devour people. Mr. Tick, though, has a tail he can twitch, he need not fly his Fancy. Claws, not metrical schema, poetry his paws; while smoothing…smoothing…smoothing roughly, his tongue laps its neatness. O Mr. Tick, I know you; you are an electrical penis. Go on now, shoo. Mrs. Desmond doesn’t like you. She thinks you will tangle yourself in her legs and she will fall. You murder her birds, she knows, and talking upon her roof with death in your jaws. I must gather myself together for a bound. What age is it I’m at right now, I wonder. The heart, don’t they always say, keeps the true time. Mrs. Desmond is knocking. Faintly, you’d think, but she pounds. She’s brought me a cucumber. I believe she believes I’m a woman. Come in, Mrs. Desmond, thank you, be my company, it looks lovely, and have tea. I’ll slice it, crisp, with cream, for luncheon, each slice as thin as me.

Politics

O all ye isolate and separate powers, Sing! Sing, and sing in such a way that from a distance it will seem a harmony, a Strindberg play, a friendship ring…so happy—happy, happy, happy—as here we go hand in handling, up and down. Our union was a singing, though we were silent in the songs we sang like single notes are silent in a symphony. In no sense sober, be barbershopped together and never heard the discords in our music or saw ourselves as dirty, cheap, or silly. Yet cats have worn out better shoes than those thrown through our love songs at us. Hush.  Be patient—prudent—politic. Still, Cleveland killed you, Mr. Crane. Were you not politic enough and fond of being beaten? Like a piece of sewage, the city shat you from its stern three hundred miles from history—beyond the loving reach of sailors. Well, I’m not a poet who puts Paris to his temple in his youth to blow himself from Idaho, or—fancy that—Missouri. My god, I said, this is my country, but must my country go so far as Terre Haute or Whiting, go so far as Gary?
When the Russians first announced the launching of their satellite, many people naturally refused to believe them. Later others were outraged that they had sent a dog around the earth. I wouldn’t want to take that mutt from our that metal flying thing if he’s still living when he lands, our own dog catcher said; anybody knows you shut a dog up by himself to toss around the first thing he’ll be setting on to do you let him out is bite somebody.
This Midwest. A dissonance of parts and people, we are a consonance of Towns. Like a man grown fat in everything but heart, we overlabor; our outlook never really urban, never rural either, we enlarge and linger at the same time, as Alice both changed and remained in her story. You are blond. I put my hands upon your belly; feel it tremble from my trembling. We always drive large cars in my section of the country. How could you be a comfort to me now?

More Vital Data

